Site,Year,Season,NPP_dry,NPP_carbon,NPP_nitrogen,Growth_rate_dry,Growth_rate_carbon,Growth_rate_nitrogen,SE_NPP_dry,SE_NPP_carbon,SE_NPP_nitrogen,SE_growth_rate_dry,SE_growth_rate_carbon,SE_growth_rate_nitrogen
ABUR,2009,4-Autumn,0.0002200308,0.0000687727,2.8015003E-6,0.0343882791,0.030779227,0.0284672847,0.0000687514,0.0000228517,1.05179E-6,0.0086029908,0.0086753243,0.0091451566
ABUR,2010,1-Winter,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2010,2-Spring,0,0,0,0,0,0,8.1314337E-6,2.0778155E-6,4.9680261E-8,0.0085444793,0.0065241981,0.0027365169
ABUR,2010,3-Summer,0.0003990069,0.0001394135,8.932226E-6,0.0390090309,0.0401280324,0.0429858036,0.0000471802,0.0000180097,1.4692606E-6,0.0034345238,0.0035949805,0.0042030847
ABUR,2010,4-Autumn,0.0006999796,0.0001878971,0.0000156695,0.0251331646,0.0225421119,0.0257948645,0.0000986513,0.0000287684,2.7825425E-6,0.0027044643,0.0027778321,0.0032209312
ABUR,2011,1-Winter,0.0004023988,0.0000997746,6.919492E-6,0.0241260589,0.0243643238,0.0224746101,0.0000719238,0.0000192342,1.6627882E-6,0.004367293,0.0044736046,0.0047029451
ABUR,2011,2-Spring,0.000274493,0.0000808608,5.444045E-6,0.0332042957,0.0334525568,0.0319915384,0.00005128,0.0000149696,1.1743795E-6,0.0048257843,0.0048522896,0.0051269122
ABUR,2011,3-Summer,0.0004502643,0.0001300648,6.3453197E-6,0.0297421658,0.0293183947,0.0261448905,0.0000666743,0.0000202219,1.2543244E-6,0.0036104959,0.0037028282,0.0039962147
ABUR,2011,4-Autumn,0.0011897145,0.0003594059,0.0000257452,0.0286306399,0.0297952541,0.0336664083,0.0001559941,0.0000498727,4.5115557E-6,0.0025014304,0.0025932529,0.0032391902
ABUR,2012,1-Winter,0.0022039441,0.0005905898,0.0000441653,0.0297243991,0.0286483056,0.0306141798,0.0003051721,0.0000876681,8.0242303E-6,0.0029851042,0.0030620621,0.0036401257
ABUR,2012,2-Spring,0.0034706401,0.0011335044,0.0000794782,0.0262051879,0.0273242528,0.0248918166,0.0005514762,0.0001935509,0.0000163457,0.00259628,0.002820839,0.0033929958
ABUR,2012,3-Summer,0.0053225987,0.0015959001,0.0000526831,0.0268181452,0.0277503964,0.0227374045,0.0007273883,0.0002255134,0.0000103684,0.002705789,0.0029135111,0.0034881116
ABUR,2012,4-Autumn,0.0057852887,0.0018173159,0.0001084748,0.0346349314,0.0339942682,0.0410897145,0.0008008502,0.0002725209,0.0000177754,0.0039248804,0.0041058001,0.0043672775
ABUR,2013,1-Winter,0.0069578465,0.0022762149,0.0001718844,0.0289515011,0.0308518812,0.031548183,0.0008394126,0.0003259833,0.0000320192,0.0026890596,0.0029365785,0.0036880706
ABUR,2013,2-Spring,0.0067643547,0.002061559,0.0001090883,0.0201341206,0.0197682727,0.0225997555,0.0008362199,0.0002795924,0.0000182391,0.0019787867,0.0022092744,0.0030379811
ABUR,2013,3-Summer,0.0062325053,0.0019598856,0.0000564444,0.0197390274,0.0196354063,0.0128423189,0.0008507942,0.0002843367,0.0000139166,0.0021411672,0.0023161688,0.0029791485
ABUR,2013,4-Autumn,0.0045065016,0.0012793096,0.0000418608,0.018749459,0.0174808517,0.0204107759,0.0007633481,0.0002363819,8.5351226E-6,0.0026074715,0.002725312,0.0032306162
ABUR,2014,1-Winter,0.0047476397,0.0017780119,0.0000881823,0.0408125534,0.0432042001,0.0479267028,0.0014027076,0.0005105926,0.0000265913,0.0136725817,0.013667005,0.0138338115
ABUR,2014,2-Spring,0.0005958874,0.0002157015,0.0000102217,0.0344981244,0.035093313,0.0321396796,0.0000722023,0.0000275768,1.9263359E-6,0.0038482153,0.0039062326,0.0044918668
ABUR,2014,3-Summer,0.0013262992,0.0005294748,0.0000144771,0.0248483847,0.0257690435,0.023045976,0.000171914,0.0000725156,2.6913246E-6,0.0019615885,0.002133346,0.0027161632
ABUR,2014,4-Autumn,0.002524784,0.0009887162,0.0000371154,0.038486965,0.0387229929,0.0434179829,0.0003971907,0.0001614479,6.8256864E-6,0.0052624578,0.0053124441,0.0055934911
ABUR,2015,1-Winter,0.0021064649,0.0008191075,0.0000391427,0.039830804,0.0397212238,0.044022354,0.0003029035,0.0001211294,6.3088602E-6,0.0054155309,0.0054786858,0.0058972158
ABUR,2015,2-Spring,0.0026473154,0.0009971775,0.0000451433,0.0456146623,0.0449866342,0.0379025989,0.0003374109,0.000134799,8.0465858E-6,0.004333268,0.0044256606,0.004723133
ABUR,2015,3-Summer,0.004127074,0.0015248586,0.0000373549,0.0326701086,0.0324164534,0.0307215068,0.000682665,0.0002590549,8.10163E-6,0.0041838097,0.0041459885,0.0044693744
ABUR,2015,4-Autumn,0.001349463,0.0004980092,0.00002473,0.0198715835,0.018774996,0.0274518712,0.0002968156,0.0001157022,5.3477899E-6,0.00438717,0.0043887437,0.0048803182
ABUR,2016,1-Winter,0.0001051842,0.0000354481,3.9805905E-6,0.0178334239,0.0165286515,0.0130022163,0.0000902416,0.0000299598,2.1667106E-6,0.0096725308,0.0092918773,0.0079720429
ABUR,2016,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2016,3-Summer,0.0011546924,0.0003670332,0.0000161699,0.0997833533,0.1005008182,0.1034167597,0.000212169,0.0000695179,3.3540269E-6,0.0144263073,0.014405047,0.0146097822
ABUR,2016,4-Autumn,0.0015816994,0.0004340284,0.0000238479,0.06073928,0.0595132303,0.0627935454,0.0002480655,0.0000690141,4.1952922E-6,0.0073343275,0.0074175459,0.0075542712
ABUR,2017,1-Winter,0.0002042919,0.0000636608,4.7902048E-6,0.0139000011,0.0160108682,0.0177635065,0.0000880453,0.0000268102,2.0081954E-6,0.0097718582,0.0102760206,0.0102479793
ABUR,2017,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2017,3-Summer,0.0000369058,0.00001178,3.1172204E-7,0.0397833664,0.0383798221,0.0352611905,5.4868281E-6,1.8130402E-6,5.916264E-8,0.0042777052,0.0043794108,0.0050061991
ABUR,2017,4-Autumn,0.0003347495,0.0000978698,5.1835215E-6,0.0396935597,0.0392911451,0.0466845497,0.0000439672,0.0000138353,9.1930268E-7,0.0029855166,0.0031102423,0.0036868256
ABUR,2018,1-Winter,0.0022539327,0.0006251477,0.0000456344,0.0495997309,0.0485532618,0.0546550242,0.0002735641,0.0000793446,7.3172898E-6,0.0042251779,0.0042721232,0.0046752158
ABUR,2018,2-Spring,0.0051163802,0.0016632015,0.0000850538,0.0330509732,0.0348273987,0.0283286962,0.0006890443,0.000236884,0.0000181406,0.0028987469,0.0029694042,0.0037568997
ABUR,2018,3-Summer,0.0023106129,0.0006579117,0.000034586,0.0187805289,0.01827618,0.0197618121,0.0005241258,0.0001639499,9.6949362E-6,0.0037086139,0.003737018,0.0042639322
ABUR,2018,4-Autumn,0.0015549944,0.0004691956,0.0000163431,0.053020677,0.0531178611,0.0506165705,0.0003420659,0.0001049759,4.1520901E-6,0.010766845,0.0108011709,0.0109159149
ABUR,2019,1-Winter,0.0000387705,0.000013491,5.5205467E-7,0.0460353787,0.0457449312,0.0471417892,0.0000145914,4.8040577E-6,2.0885232E-7,0.0078908037,0.0080187974,0.0084511709
ABUR,2019,2-Spring,0.0002342464,0.0000721185,3.2988953E-6,0.064406858,0.0642456076,0.0611656704,0.0000279043,9.1588135E-6,5.3400884E-7,0.0040433599,0.0041169848,0.0043714885
ABUR,2019,3-Summer,0.0005439779,0.0001747483,3.7031287E-6,0.0385302013,0.0402914913,0.0188600161,0.0001393306,0.0000466317,2.1704034E-6,0.0088863016,0.009514276,0.0108504464
ABUR,2019,4-Autumn,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
AQUE,2002,3-Summer,0.0377049182,0.0091320141,0.000361309,0.0328845729,0.0297946352,0.0280746019,0.0041380488,0.001182998,0.0000587853,0.0030917716,0.003196443,0.0036007557
AQUE,2002,4-Autumn,0.017281105,0.0045205191,0.0003852376,0.0221131209,0.0223008981,0.0295869022,0.0024100997,0.0006603782,0.0000638096,0.0031161181,0.0032041264,0.0035826171
AQUE,2003,1-Winter,0.008080041,0.0022545975,0.0001943488,0.0329935515,0.0342761469,0.035677562,0.0011316946,0.0003083711,0.0000305865,0.0036958977,0.0037572448,0.0042122646
AQUE,2003,2-Spring,0.0157429777,0.0049058565,0.0004788467,0.033459306,0.0340290668,0.0353952179,0.0015224884,0.0005022519,0.0000644472,0.0024405523,0.0025059031,0.0030453335
AQUE,2003,3-Summer,0.0172744392,0.0057154959,0.0004845405,0.0264005524,0.0271907948,0.0252882803,0.0017056549,0.0006097579,0.0000732937,0.0021572659,0.0022900976,0.0028919423
AQUE,2003,4-Autumn,0.0176816794,0.0046481051,0.0003437439,0.0255665827,0.0232165385,0.0207734832,0.001992805,0.0006076639,0.0000574381,0.0025119718,0.0026160265,0.0030570488
AQUE,2004,1-Winter,0.0178696641,0.004348141,0.0003925873,0.044759987,0.0447875508,0.0436911434,0.0027628536,0.0007012022,0.0000744853,0.0064923827,0.0065835869,0.006726761
AQUE,2004,2-Spring,0.0149445748,0.0042572978,0.0003391311,0.0459662643,0.0471596,0.0513798694,0.0021559506,0.0006329854,0.000063487,0.0049276277,0.0049989973,0.005439292
AQUE,2004,3-Summer,0.0120160641,0.003645421,0.000180457,0.025616423,0.0255074256,0.0201011485,0.0014059296,0.0004648203,0.0000340474,0.0024070676,0.0025675233,0.0032175238
AQUE,2004,4-Autumn,0.0138871924,0.0036483672,0.0001808792,0.0328420888,0.0313633177,0.033408684,0.0017179219,0.0004979182,0.0000288633,0.0035508719,0.0036489975,0.0039739199
AQUE,2005,1-Winter,0.0082286252,0.0020275519,0.0001376212,0.0327216751,0.0325521256,0.0355745547,0.001359789,0.0003510244,0.0000242596,0.0046811267,0.004773036,0.0052062588
AQUE,2005,2-Spring,0.009099462,0.0024415584,0.0002715486,0.0317530915,0.0324547049,0.0368975143,0.0007273321,0.0002134998,0.0000327678,0.0020769424,0.0022036122,0.0028678563
AQUE,2005,3-Summer,0.0172090301,0.0044859411,0.0003145778,0.030174875,0.0297390409,0.0245308439,0.0014880896,0.0004348508,0.0000490084,0.0021374683,0.0021974911,0.0028325683
AQUE,2005,4-Autumn,0.0096737314,0.0024443526,0.0001665478,0.0333970067,0.033605212,0.0354343639,0.0013080513,0.0003549398,0.000028789,0.0041202513,0.0042034622,0.0044647775
AQUE,2006,1-Winter,0.0107257228,0.0032538291,0.0002360595,0.0652877753,0.0668306187,0.0662380966,0.0017080392,0.0005251189,0.0000439131,0.0078334528,0.0078681387,0.0081967272
AQUE,2006,2-Spring,0.0037107518,0.0010496832,0.0000613853,0.0417227059,0.0410431461,0.0371093349,0.0008524718,0.0002520946,0.0000182584,0.0072922137,0.0073161463,0.007613899
AQUE,2006,3-Summer,0.0078546283,0.0023346741,0.0000825433,0.0375180611,0.0381640765,0.0345062141,0.0008197938,0.0002621653,0.0000122498,0.0030755433,0.0031280324,0.0035816795
AQUE,2006,4-Autumn,0.0157997898,0.004876547,0.0001816868,0.0264499338,0.0269349677,0.0278811838,0.0012612701,0.0004431199,0.0000254699,0.001586079,0.0017384256,0.0024877261
AQUE,2007,1-Winter,0.0213590767,0.0053641025,0.0003682549,0.0297967554,0.0271789868,0.0331233286,0.0019772828,0.0005736097,0.0000445168,0.002531501,0.0026446686,0.0030017346
AQUE,2007,2-Spring,0.0169146117,0.0041572779,0.0003881666,0.0228588893,0.0238038294,0.025031923,0.0017186308,0.0004505279,0.0000535721,0.0020983758,0.0022151346,0.0025950819
AQUE,2007,3-Summer,0.0091688566,0.0029045868,0.0000946748,0.0257219669,0.0278267266,0.0198886441,0.0008950372,0.0002888711,0.0000176239,0.0022268977,0.0023449794,0.0027744219
AQUE,2007,4-Autumn,0.0119049392,0.002795674,0.0002249199,0.0346725888,0.0311048319,0.0399411445,0.0015722166,0.000415045,0.000035792,0.004511289,0.0045517086,0.0049636928
AQUE,2008,1-Winter,0.0127335749,0.0030749615,0.0002849463,0.0569398629,0.0580238469,0.0592705998,0.0016274485,0.0004078273,0.0000464086,0.0066485481,0.0066960617,0.0068698011
AQUE,2008,2-Spring,0.0089326367,0.0023201099,0.0001612935,0.0341159741,0.0343451541,0.0299206322,0.0006317034,0.000188733,0.0000210696,0.0018109574,0.0019778707,0.0025792748
AQUE,2008,3-Summer,0.0115475678,0.0039192396,0.0001224714,0.0263174139,0.0287436693,0.0222637739,0.0010856967,0.0004017766,0.0000212893,0.00217145,0.0023620458,0.0030904804
AQUE,2008,4-Autumn,0.0164276124,0.0050116742,0.0002275947,0.0352018241,0.0341183447,0.0387366735,0.0013805812,0.0004775892,0.0000284102,0.0026985337,0.0027742076,0.0033673639
AQUE,2009,1-Winter,0.0203528811,0.0052018238,0.0004141728,0.0320427053,0.0304151999,0.0372247103,0.0020922335,0.0005964618,0.0000612072,0.0027392951,0.0028829035,0.0033607373
AQUE,2009,2-Spring,0.0160637781,0.0047796745,0.0003582392,0.0271663892,0.0294808692,0.0239210101,0.0019533036,0.0005876904,0.0000638093,0.0028471053,0.0029903119,0.0033759201
AQUE,2009,3-Summer,0.0058857731,0.0019198682,0.0000805461,0.0242735585,0.0237219739,0.022722332,0.000764002,0.0002675045,0.0000154569,0.0027313946,0.0027954579,0.0033587891
AQUE,2009,4-Autumn,0.0115007466,0.0037035748,0.0001528021,0.0503061803,0.050887878,0.0492519638,0.001321548,0.000444113,0.000022285,0.0048100767,0.004884895,0.005178283
AQUE,2010,1-Winter,0.0057388718,0.0019302352,0.0001099389,0.0543246058,0.055547724,0.0607556064,0.0009266569,0.0003165345,0.0000192245,0.0084304793,0.0084075205,0.0085660902
AQUE,2010,2-Spring,0.0015008117,0.0004419283,0.0000375975,0.0738454783,0.0716980347,0.0732020025,0.0002757399,0.0000843752,7.878538E-6,0.0092342119,0.0092265612,0.0093856182
AQUE,2010,3-Summer,0.0035974252,0.0011071725,0.0000577449,0.0841613705,0.0845875197,0.0800303885,0.0003302448,0.0001123197,7.328035E-6,0.006845949,0.0068846271,0.0070302527
AQUE,2010,4-Autumn,0.0060535417,0.001766934,0.0001329468,0.0492055309,0.0486721083,0.0535981013,0.001064063,0.0003296323,0.0000281425,0.0076811546,0.0077709348,0.0080415587
AQUE,2011,1-Winter,0.0002094083,0.0000662944,4.9072048E-6,0.0343258199,0.0372588649,0.0345111173,0,0,0,0,0,0
AQUE,2011,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2011,3-Summer,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2011,4-Autumn,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2012,1-Winter,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2012,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2012,3-Summer,0.0037002321,0.0010230948,0.0000394313,0.0703546247,0.0696043736,0.0624614046,0.0002241758,0.000076619,4.8435766E-6,0.0019390787,0.0021084076,0.0028633874
AQUE,2012,4-Autumn,0.0097020125,0.0028929617,0.000135155,0.0300666328,0.0316418076,0.0349675281,0.0010303319,0.0003088902,0.000017117,0.0027990782,0.0029339519,0.0032676535
AQUE,2013,1-Winter,0.0150082188,0.0051442137,0.0003172251,0.0328420544,0.032971704,0.0340818223,0.0015127606,0.0005399206,0.0000442945,0.0026801925,0.0027975401,0.0032914686
AQUE,2013,2-Spring,0.0142786923,0.0040449356,0.0002138378,0.0284171999,0.0269016861,0.0256680251,0.0015787121,0.0004850193,0.0000314251,0.0028179008,0.0029034903,0.0033085453
AQUE,2013,3-Summer,0.0141833723,0.0044867486,0.0001344825,0.0334257923,0.0353706527,0.029712845,0.0015459734,0.0005038898,0.0000207629,0.0031237284,0.0032572165,0.0036469379
AQUE,2013,4-Autumn,0.0121902825,0.0035520365,0.0001142177,0.0350300237,0.0341906967,0.0349717531,0.0015653242,0.0004799246,0.000018265,0.0042326154,0.0043044162,0.0046180196
AQUE,2014,1-Winter,0.0072356999,0.0024156132,0.000092761,0.0864603987,0.0844071867,0.0887992578,0.0011124601,0.0003856244,0.0000156821,0.0097644033,0.0097122531,0.0098860165
AQUE,2014,2-Spring,0.0003538973,0.0000985664,5.3096354E-6,0.062990808,0.0654615501,0.0628077648,0.0000953945,0.0000254722,1.5324852E-6,0.0111162795,0.0110637047,0.0112639823
AQUE,2014,3-Summer,0.0000540931,0.0000181905,5.9695542E-7,0.1086779927,0.1117675222,0.1045788833,0.0000194358,6.4683204E-6,2.4035737E-7,0.0306060234,0.0307928637,0.0313635917
AQUE,2014,4-Autumn,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2015,1-Winter,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2015,2-Spring,0.0002142772,0.000086548,2.6756246E-6,0.094769913,0.0951940396,0.0863127926,0.0000139198,6.8831481E-6,3.4087508E-7,0.0044240798,0.0049173018,0.0073038923
AQUE,2015,3-Summer,0.0007903688,0.0002881924,7.7776731E-6,0.0466061881,0.0457453621,0.0430132972,0.0000770919,0.0000291511,9.3470858E-7,0.0030000354,0.003082451,0.0033133779
AQUE,2015,4-Autumn,0.001878923,0.0007398328,0.0000392476,0.043939454,0.0447556462,0.0520897878,0.0001953923,0.0000808547,4.7735333E-6,0.0045721824,0.0046090255,0.0048772633
AQUE,2016,1-Winter,0.0051072629,0.0018349827,0.000129458,0.0455758687,0.044388338,0.0460444425,0.0005742904,0.0002227087,0.0000183156,0.0043571348,0.0044394565,0.004724993
AQUE,2016,2-Spring,0.010058999,0.0035755745,0.000200848,0.037894583,0.0379161166,0.0349861893,0.0009396756,0.0003617917,0.0000277816,0.0027393082,0.0028331384,0.0032362049
AQUE,2016,3-Summer,0.0087435803,0.0028324107,0.0001478612,0.0345910355,0.0332166325,0.0332246586,0.0011276779,0.0003894256,0.000023917,0.0041479769,0.0041907511,0.0045044865
AQUE,2016,4-Autumn,0.0059841887,0.0019537154,0.0000743513,0.03518083,0.0340150513,0.0326446431,0.0009157256,0.0003148143,0.000014907,0.0044463299,0.0044569107,0.0048418382
AQUE,2017,1-Winter,0.0021254368,0.0005563647,0.0000374511,0.0435688567,0.0443109971,0.0505527911,0.0003717646,0.0001026998,6.8640537E-6,0.0068905611,0.0069429528,0.0071560976
AQUE,2017,2-Spring,0.0019198719,0.0005979078,0.0000457099,0.0435360289,0.0441607606,0.0435371976,0.0002502742,0.0000821833,8.4925547E-6,0.0028521267,0.0029137197,0.0036323597
AQUE,2017,3-Summer,0.0019879224,0.000652921,0.0000177832,0.0242813444,0.0245867477,0.0186246987,0.0002280124,0.0000853123,4.0442781E-6,0.0021665223,0.0024169714,0.003605999
AQUE,2017,4-Autumn,0.0038316332,0.0012456008,0.0000440471,0.0354508043,0.0366352849,0.0377332757,0.0005101417,0.0001760611,7.7574523E-6,0.0038338909,0.0039895095,0.0044004877
AQUE,2018,1-Winter,0.0033511623,0.0009521586,0.0000701209,0.0259414168,0.0257245243,0.0353595657,0.0003258822,0.0001122906,0.0000106647,0.0018717019,0.001934907,0.0027710981
AQUE,2018,2-Spring,0.004883826,0.001416021,0.0001200089,0.0255020991,0.0262484803,0.0271859751,0.0005767068,0.0001828504,0.000020521,0.0020926512,0.0022223813,0.002820284
AQUE,2018,3-Summer,0.0036946992,0.0011276214,0.0000569072,0.0275178861,0.0271484604,0.0208826228,0.0004727228,0.0001534952,0.0000124322,0.0029705748,0.0030345718,0.0035062883
AQUE,2018,4-Autumn,0.0039353376,0.0011852349,0.0000450053,0.0472244164,0.047247667,0.0469698413,0.0005801757,0.0001826892,8.297091E-6,0.006292414,0.0063773238,0.0066136078
AQUE,2019,1-Winter,0.0020029996,0.000672997,0.0000381895,0.0486303879,0.049534095,0.054383807,0.0003466011,0.0001176381,6.9453437E-6,0.0071593625,0.0072085738,0.0073376165
AQUE,2019,2-Spring,0.001924903,0.0006200201,0.000050859,0.0357297487,0.0358179048,0.03718118,0.000264889,0.000092533,9.9235269E-6,0.0033284451,0.003467671,0.0041058506
AQUE,2019,3-Summer,0,0,0,0,0,0,0.0001766868,0.0000331413,0,0.0027454479,0.0016728717,0
AQUE,2019,4-Autumn,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
MOHK,2002,3-Summer,0.0472585831,0.012947339,0.0007522485,0.0347916048,0.0364969956,0.0318620642,0.0047332874,0.0013573179,0.000111353,0.00264978,0.0027276837,0.0032200585
MOHK,2002,4-Autumn,0.022828354,0.0057421775,0.0003630016,0.0333798878,0.0320921201,0.0395686369,0.004439223,0.0012091298,0.000070987,0.0059335746,0.005928324,0.0063147164
MOHK,2003,1-Winter,0.0088334484,0.0024689579,0.0001767503,0.0416258266,0.0440812417,0.0430591816,0.001751999,0.0004719992,0.0000407757,0.0062262268,0.0063110779,0.006515454
MOHK,2003,2-Spring,0.0068619784,0.0022133657,0.000148266,0.0407886306,0.0406614343,0.0373671929,0.0008709093,0.0002884506,0.0000241296,0.0044480304,0.0045356788,0.0048381617
MOHK,2003,3-Summer,0.0126848655,0.0042683306,0.0003053231,0.0330975272,0.0341462174,0.0361743818,0.0010741738,0.0004044192,0.0000435769,0.0021565337,0.0022834279,0.0029955349
MOHK,2003,4-Autumn,0.019480103,0.0054150238,0.0003236061,0.0305879003,0.0277144933,0.0270493621,0.0021956289,0.0006925534,0.000053288,0.0031835866,0.0032769173,0.0038613978
